majority,congress,session,rollcall-num,legis-num,vote-question,vote-result,vote-desc,r-y,r-no,r-p,r-nv,d-y,d-no,d-p,d-nv,ind-y,ind-n,i-p,i-nv,
R,114,1st,387,H R 1615,On Motion to Suspend the Rules and Pass, as Amended,Passed,DHS FOIA Efficiency Act of 2015,242,0,0,3,181,0,0,7,0,0,0,0,
R,114,1st,388,H R 1295,On Motion to Concur in Senate Amendment to House Amendment to Senate Amendment,Passed,To extend the African Growth and Opportunity Act, the Generalized System of Preferences, the preferential duty treatment program for Haiti, and for other purposes.,111,132,0,2,175,6,0,7,0,0,0,0,
R,114,1st,389,H R 2200,On Motion to Suspend the Rules and Pass, as Amended,Passed,CBRN Intelligence and Information Sharing Act,239,1,0,5,181,1,0,6,0,0,0,0,
R,114,1st,39,H RES 38,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 161, the Natural Gas Pipeline Permitting Reform Act; and providing for consideration of H.R. 36, the Pain-Capable Unborn Child Protection Act,237,0,0,8,1,181,0,6,0,0,0,0,
R,114,1st,390,H R 1735,Authorizing Conferees to Close Meetings,Passed,To authorize appropriations for fiscal year 2016 for military activites of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes,233,7,0,5,169,5,0,14,0,0,0,0,
R,114,1st,392,H RES 347,On Agreeing to the Resolution,Passed,Providing for further consideration of H.R. 5, the Student Success Act and H.R. 2647, the Resilient Federal Forests Act of 2015,242,0,0,3,0,185,0,3,0,0,0,0,
R,114,1st,393,H R 2822,On Agreeing to the Amendment,Failed,None,16,227,0,2,165,17,0,6,0,0,0,0,
R,114,1st,394,H R 2822,On Agreeing to the Amendment,Failed,None,6,236,0,3,178,7,0,3,0,0,0,0,
R,114,1st,395,H R 2822,On Agreeing to the Amendment,Failed,None,8,235,0,2,175,10,0,3,0,0,0,0,
R,114,1st,396,H R 2822,On Agreeing to the Amendment,Failed,None,10,233,0,2,178,6,0,4,0,0,0,0,
R,114,1st,397,H R 2822,On Agreeing to the Amendment,Failed,None,7,235,0,3,182,4,0,2,0,0,0,0,
R,114,1st,398,H R 2822,On Agreeing to the Amendment,Failed,None,5,238,0,2,186,0,0,2,0,0,0,0,
R,114,1st,399,H R 2822,On Agreeing to the Amendment,Failed,None,0,243,0,2,178,8,0,2,0,0,0,0,
R,114,1st,4,H RES 5,On Ordering the Previous Question,Passed,Adopting rules for the One Hundred Fourteenth Congress,239,1,0,2,0,167,0,6,0,0,0,0,
R,114,1st,40,H R 161,On Motion to Recommit with Instructions,Failed,Natural Gas Pipeline Permitting Reform Act,1,240,0,4,181,1,0,6,0,0,0,0,
R,114,1st,400,H R 2822,On Agreeing to the Amendment,Failed,None,5,238,0,2,181,5,0,2,0,0,0,0,
R,114,1st,401,H R 2822,On Agreeing to the Amendment,Failed,None,0,243,0,2,180,6,0,2,0,0,0,0,
R,114,1st,402,H R 2822,On Agreeing to the Amendment,Failed,None,1,242,0,2,178,8,0,2,0,0,0,0,
R,114,1st,403,H R 2822,On Agreeing to the Amendment,Failed,None,8,235,0,2,184,2,0,2,0,0,0,0,
R,114,1st,404,H R 2822,On Agreeing to the Amendment,Failed,None,9,234,0,2,177,9,0,2,0,0,0,0,
R,114,1st,405,H R 2822,On Agreeing to the Amendment,Failed,None,6,235,0,4,177,9,0,2,0,0,0,0,
R,114,1st,406,H R 2822,On Agreeing to the Amendment,Failed,None,8,233,0,4,181,4,0,3,0,0,0,0,
R,114,1st,407,H R 2822,On Agreeing to the Amendment,Failed,None,167,74,0,4,1,184,0,3,0,0,0,0,
R,114,1st,408,H R 2822,On Agreeing to the Amendment,Agreed to,None,230,13,0,2,1,185,0,2,0,0,0,0,
R,114,1st,409,H R 2822,On Agreeing to the Amendment,Agreed to,None,221,21,0,3,1,185,0,2,0,0,0,0,
R,114,1st,41,H R 161,On Passage,Passed,Natural Gas Pipeline Permitting Reform Act,239,0,0,6,14,169,0,5,0,0,0,0,
R,114,1st,410,H R 5,On Agreeing to the Amendment,Agreed to,None,244,0,0,1,129,57,0,2,0,0,0,0,
R,114,1st,411,H R 5,On Agreeing to the Amendment,Agreed to,None,241,0,0,4,183,2,0,3,0,0,0,0,
R,114,1st,412,H R 5,On Agreeing to the Amendment,Failed,None,18,223,0,4,181,5,0,2,0,0,0,0,
R,114,1st,413,H R 5,On Agreeing to the Amendment,Failed,None,6,237,0,2,186,0,0,2,0,0,0,0,
R,114,1st,414,H R 5,On Agreeing to the Amendment,Failed,None,0,244,0,1,186,1,0,1,0,0,0,0,
R,114,1st,415,H R 5,On Agreeing to the Amendment,Failed,None,5,238,0,2,186,1,0,1,0,0,0,0,
R,114,1st,416,H R 5,On Agreeing to the Amendment,Agreed to,None,31,213,0,1,187,0,0,1,0,0,0,0,
R,114,1st,417,H R 5,On Agreeing to the Amendment,Failed,None,18,224,0,3,187,0,0,1,0,0,0,0,
R,114,1st,418,H R 5,On Agreeing to the Amendment,Failed,None,2,241,0,2,187,0,0,1,0,0,0,0,
R,114,1st,419,H R 5,On Agreeing to the Amendment,Failed,None,195,49,0,1,0,186,0,2,0,0,0,0,
R,114,1st,42,H RES 42,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions,239,0,0,6,0,183,0,5,0,0,0,0,
R,114,1st,420,H R 5,On Agreeing to the Amendment,Agreed to,None,232,11,0,2,19,167,0,2,0,0,0,0,
R,114,1st,421,H R 5,On Agreeing to the Amendment,Failed,None,0,244,0,1,187,0,0,1,0,0,0,0,
R,114,1st,422,H R 5,On Motion to Recommit with Instructions,Failed,Student Success Act,0,244,0,1,185,0,0,3,0,0,0,0,
R,114,1st,423,H R 5,On Passage,Passed,Student Success Act,218,27,0,1,0,186,0,2,0,0,0,0,
R,114,1st,424,ADJOURN,On Motion to Adjourn,Failed,None,0,237,0,8,13,165,0,10,0,0,0,0,
R,114,1st,425,H RES 355,Ordering the Previous Question on the Motion to Refer,Passed,Raising a question of the privileges of the House,238,1,0,6,0,184,0,4,0,0,0,0,
R,114,1st,426,H RES 355,On Motion to Refer,Passed,Raising a question of the privileges of the House,238,1,0,6,0,175,0,13,0,0,0,0,
R,114,1st,427,H R 2647,On Agreeing to the Amendment,Failed,None,1,243,0,1,180,4,0,4,0,0,0,0,
R,114,1st,428,H R 2647,On Passage,Passed,Resilient Federal Forests Act of 2015,243,1,0,1,19,166,0,3,0,0,0,0,
R,114,1st,429,H RES 350,On Ordering the Previous Question,Passed,Providing for consideration of H.R. 6, 21st Century Cures Act,242,0,0,3,0,185,0,3,0,0,0,0,
R,114,1st,43,H RES 42,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions,240,0,0,5,2,179,0,7,0,0,0,0,
R,114,1st,430,H RES 350,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 6, 21st Century Cures Act,242,0,0,3,2,183,0,3,0,0,0,0,
R,114,1st,431,H R 6,On Agreeing to the Amendment,Failed,None,141,100,0,4,0,181,0,7,0,0,0,0,
R,114,1st,432,H R 6,On Agreeing to the Amendment,Failed,None,0,240,0,5,176,5,0,7,0,0,0,0,
R,114,1st,433,H R 6,On Passage,Passed,21st Century Cures Act,170,70,0,5,174,7,0,7,0,0,0,0,
R,114,1st,434,H R 2499,On Motion to Suspend the Rules and Pass, as Amended,Passed,Veterans Entrepeneurship Act of 2015,235,1,0,9,175,0,0,13,0,0,0,0,
R,114,1st,435,H R 251,On Motion to Suspend the Rules and Pass,Passed,Homes for Heroes Act of 2015,243,1,0,1,169,0,0,19,0,0,0,0,
R,114,1st,436,H R 2997,On Motion to Suspend the Rules and Pass,Passed,Private Investment in Housing Act of 2015,213,28,0,4,182,0,0,6,0,0,0,0,
R,114,1st,437,H R 1723,On Motion to Suspend the Rules and Pass,Passed,Small Company Simple Registration Act,244,0,0,1,182,0,0,6,0,0,0,0,
R,114,1st,438,H RES 362,On Ordering the Previous Question,Passed,Providing for consideration of H.R. 2898, Western Water and American Food Security Act of 2015; and providing for consideration of H.R. 3038, Highway and Transportation Funding Act of 2015, Part II,243,0,0,2,2,182,0,4,0,0,0,0,
R,114,1st,439,H RES 362,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 2898, Western Water and American Food Security Act of 2015; and providing for consideration of H.R. 3038, Highway and Transportation Funding Act of 2015, Part II,244,0,0,1,1,183,0,4,0,0,0,0,
R,114,1st,44,H R 7,On Motion to Recommit with Instructions,Failed,To prohibit taxpayer funded abortions.,0,239,0,6,177,1,0,10,0,0,0,0,
R,114,1st,440,H R 3038,On Motion to Recommit with Instructions,Failed,Highway Transportation Funding Act of 2015, Part II,1,243,0,1,184,1,0,3,0,0,0,0,
R,114,1st,441,H R 3038,On Passage,Passed,Highway Transportation Funding Act of 2015, Part II,180,65,0,0,132,54,0,2,0,0,0,0,
R,114,1st,442,H R 2722,On Motion to Suspend the Rules and Pass, as Amended,Passed,Breast Cancer Awareness Commemorative Coin Act,235,9,1,0,186,0,0,2,0,0,0,0,
R,114,1st,443,H R 2898,On Agreeing to the Amendment,Failed,None,2,236,0,7,180,0,0,8,0,0,0,0,
R,114,1st,444,H R 2898,On Agreeing to the Amendment,Agreed to,None,238,0,0,7,8,172,0,8,0,0,0,0,
R,114,1st,445,H R 2898,On Agreeing to the Amendment,Failed,None,1,238,0,6,178,4,0,6,0,0,0,0,
R,114,1st,446,H R 2898,On Motion to Recommit with Instructions,Failed,Western Water and American Food Security Act,0,239,0,6,183,0,0,5,0,0,0,0,
R,114,1st,447,H R 2898,On Passage,Passed,Western Water and American Food Security Act,240,1,0,4,5,175,0,8,0,0,0,0,
R,114,1st,448,H R 1557,On Motion to Suspend the Rules and Pass,Passed,Federal Employee Antidiscrimination Act,233,0,0,12,170,0,0,18,0,0,0,0,
R,114,1st,449,H R 2256,On Motion to Suspend the Rules and Pass, as Amended,Passed,Veterans Information Modernization Act,236,0,0,9,172,0,0,16,0,0,0,0,
R,114,1st,45,H R 7,On Passage,Passed,To prohibit taxpayer funded abortions.,239,1,0,5,3,178,0,7,0,0,0,0,
R,114,1st,450,H RES 369,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 1599) Safe and Accurate Food Labeling Act, and providing for consideration of the bill (H.R. 1734) Improving Coal Combustion Residuals Regulation Act,239,0,0,6,0,167,0,21,0,0,0,0,
R,114,1st,451,H RES 369,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 1599) Safe and Accurate Food Labeling Act, and providing for consideration of the bill (H.R. 1734) Improving Coal Combustion Residuals Regulation Act,240,0,0,5,2,175,0,11,0,0,0,0,
R,114,1st,452,JOURNAL,On Approving the Journal,Passed,None,146,94,1,4,103,75,1,9,0,0,0,0,
R,114,1st,453,H R 1734,On Agreeing to the Amendment,Failed,None,0,240,0,5,177,4,0,7,0,0,0,0,
R,114,1st,454,H R 1734,On Agreeing to the Amendment,Failed,None,0,240,0,5,177,5,0,6,0,0,0,0,
R,114,1st,455,H R 1734,On Agreeing to the Amendment,Failed,None,13,228,0,4,179,3,0,6,0,0,0,0,
R,114,1st,456,H R 1734,On Agreeing to the Amendment,Failed,None,1,238,0,6,179,2,0,7,0,0,0,0,
R,114,1st,457,H R 1734,On Motion to Recommit with Instructions,Failed,Improving Coal Combustion Residuals Regulation Act of 2015,0,240,0,5,184,0,0,4,0,0,0,0,
R,114,1st,458,H R 1734,On Passage,Passed,Improving Coal Combustion Residuals Regulation Act of 2015,239,1,0,5,19,165,0,4,0,0,0,0,
R,114,1st,459,H R 1599,On Agreeing to the Amendment,Failed,None,1,242,0,2,122,61,0,5,0,0,0,0,
R,114,1st,46,H RES 48,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 351) to provide for expedited approval of exportation of natural gas, and for other purposes,236,0,0,9,5,169,0,14,0,0,0,0,
R,114,1st,460,H R 1599,On Agreeing to the Amendment,Failed,None,21,219,0,5,175,8,0,5,0,0,0,0,
R,114,1st,461,H R 1599,On Agreeing to the Amendment,Failed,None,10,232,0,3,153,30,0,5,0,0,0,0,
R,114,1st,462,H R 1599,On Passage,Passed,Safe and Accurate Food Labeling Act of 2015,230,12,0,3,45,138,0,5,0,0,0,0,
R,114,1st,463,H R 1599,On agreeing to the Polis of Colorado Amendment to the title,Failed,Safe and Accurate Food Labeling Act of 2015,1,241,0,3,86,96,0,6,0,0,0,0,
R,114,1st,464,H RES 370,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 3009, Enforce the Law for Sanctuary Cities Act,243,0,0,2,0,174,0,14,0,0,0,0,
R,114,1st,465,H R 3009,On Motion to Recommit with Instructions,Failed,Enforce the Law for Sanctuary Cities Act,0,239,0,6,181,0,0,7,0,0,0,0,
R,114,1st,466,H R 3009,On Passage,Passed,Enforce the Law for Sanctuary Cities Act,235,5,0,5,6,174,0,8,0,0,0,0,
R,114,1st,467,S 1482,On Motion to Suspend the Rules and Pass,Passed,Need-Based Educational Aid Act of 2015,224,0,0,21,154,0,0,34,0,0,0,0,
R,114,1st,468,H R 1656,On Motion to Suspend the Rules and Pass, as Amended,Passed,Secret Service Improvements Act of 2015,210,15,0,20,155,1,0,32,0,0,0,0,
R,114,1st,469,H R 2770,On Motion to Suspend the Rules and Pass, as Amended,Passed,Keeping our Travelers Safe and Secure Act,224,0,0,21,156,0,0,32,0,0,0,0,
R,114,1st,47,H R 469,On Motion to Suspend the Rules and Pass,Passed,Strengthening Child Welfare Response to Trafficking Act of 2015,236,0,0,9,174,0,0,14,0,0,0,0,
R,114,1st,470,H RES 380,On Ordering the Previous Question,Passed,Providing for consideration of the bill H.R. 427, the Regulations from the Executive in Need of Scrutiny Act of 2015 (REINS Act), and providing for proceedings during the period from July 30, 2015, through September 7, 2015, and for other purposes.,240,0,0,5,0,167,0,21,0,0,0,0,
R,114,1st,471,H RES 380,On Agreeing to the Resolution,Passed,Providing for consideration of the bill H.R. 427, the Regulations from the Executive in Need of Scrutiny Act of 2015 (REINS Act), and providing for proceedings during the period from July 30, 2015, through September 7, 2015, and for other purposes.,240,0,0,5,0,167,0,21,0,0,0,0,
R,114,1st,473,H R 427,On Agreeing to the Amendment,Agreed to,None,242,0,0,3,8,159,0,21,0,0,0,0,
R,114,1st,474,H R 427,On Agreeing to the Amendment,Agreed to,None,240,1,0,4,2,166,0,20,0,0,0,0,
R,114,1st,475,H R 427,On Agreeing to the Amendment,Failed,None,0,241,0,4,163,5,0,20,0,0,0,0,
R,114,1st,476,H R 427,On Agreeing to the Amendment,Failed,None,0,242,0,3,166,2,0,20,0,0,0,0,
R,114,1st,477,H R 427,On Agreeing to the Amendment,Failed,None,0,240,0,5,166,2,0,20,0,0,0,0,
R,114,1st,478,H R 427,On Agreeing to the Amendment,Failed,None,0,242,0,3,167,1,0,20,0,0,0,0,
R,114,1st,479,H R 427,On Agreeing to the Amendment,Failed,None,2,239,0,4,165,2,0,21,0,0,0,0,
R,114,1st,48,H R 246,On Motion to Suspend the Rules and Pass,Passed,To improve the response to victims of child sex trafficking,237,0,0,8,174,0,0,14,0,0,0,0,
R,114,1st,480,H R 427,On Agreeing to the Amendment,Failed,None,1,238,0,6,166,1,0,21,0,0,0,0,
R,114,1st,481,H R 427,On Motion to Recommit with Instructions,Failed,Regulations from the Executive in Need of Scrutiny Act of 2015,1,241,0,3,166,0,0,22,0,0,0,0,
R,114,1st,482,H R 427,On Passage,Passed,Regulations from the Executive in Need of Scrutiny Act of 2015,241,0,0,4,2,165,0,21,0,0,0,0,
R,114,1st,483,H RES 388,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 1994), the VA Accountability Act of 2015, and providing for consideration of the bill (H.R. 3236), the Surface Transportation and Veterans Health Care Choice Improvement Act of 2015.,242,0,0,3,0,180,0,8,0,0,0,0,
R,114,1st,484,H RES 388,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 1994), the VA Accountability Act of 2015, and providing for consideration of the bill (H.R. 3236), the Surface Transportation and Veterans Health Care Choice Improvement Act of 2015.,242,0,0,3,1,183,0,4,0,0,0,0,
R,114,1st,485,H R 1300,On Motion to Suspend the Rules and Pass, as Amended,Passed,First Responder Anthrax Preparedness Act,241,0,0,4,183,0,0,5,0,0,0,0,
R,114,1st,486,H R 3236,On Passage,Passed,Surface Transportation and Veterans Health Care Choice Improvement Act of 2015,215,25,0,5,170,9,1,8,0,0,0,0,
R,114,1st,487,H R 1994,On Agreeing to the Amendment,Failed,None,8,231,0,6,183,2,0,3,0,0,0,0,
R,114,1st,488,H R 1994,On Motion to Recommit with Instructions,Failed,VA Accountability Act,0,241,0,4,184,0,0,4,0,0,0,0,
R,114,1st,489,H R 1994,On Passage,Passed,VA Accountability Act,240,1,0,4,16,169,0,3,0,0,0,0,
R,114,1st,49,H R 351,On Motion to Recommit with Instructions,Failed,LNG Permitting Certainty and Transparency Act,1,237,0,7,174,0,0,14,0,0,0,0,
R,114,1st,490,S 1359,On Motion to Suspend the Rules and Pass,Passed,E-Warranty Act of 2015,224,2,0,19,164,0,0,24,0,0,0,0,
R,114,1st,491,H RES 412,On Agreeing to the Resolution,Passed,Providing for consideration of H.Res. 411, finding that the President has not complied with section 2 of the Iran Nuclear Agreement Review Act of 2015; H.R. 3461, to approve the Joint Comprehensive Plan of Action; H.R. 3460, to suspend until January 21, 2017, the authority of the President to releive Iran sanctions,243,0,0,2,0,186,0,2,0,0,0,0,
R,114,1st,492,H RES 411,On Agreeing to the Resolution,Passed,Finding that the President has not complied with section 2 of the Iran Nuclear Agreement Review Act of 2015,245,0,0,0,0,186,0,2,0,0,0,0,
R,114,1st,493,H R 3461,On Passage,Failed,To approve the Joint Comprehensive Plan of Action, signed at Vienna on July 14, 2015, relating to the nuclear program of Iran.,0,244,1,0,162,25,0,1,0,0,0,0,
R,114,1st,494,H R 3460,On Passage,Passed,To suspend until January 21, 2017, the authority of the President to waive, suspend, reduce, provide relief from, or otherwise limit the application of sanctions pursuant to an agreement related to the nuclear program of Iran,245,0,0,0,2,186,0,0,0,0,0,0,
R,114,1st,495,H R 1214,On Motion to Suspend the Rules and Pass, as Amended,Passed,National Forest Small Tracts Act Amendments Act of 2015,229,0,0,16,174,0,0,14,0,0,0,0,
R,114,1st,496,H R 1949,On Motion to Suspend the Rules and Pass, as Amended,Passed,National Liberty Memorial Clarification Act of 2015,229,0,0,16,173,0,0,15,0,0,0,0,
R,114,1st,497,H RES 420,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 348) RAPID Act; providing for consideration of the bill (H.R. 758) Lawsuit Abuse Reduction Act; and providing for consideration of motions to suspend the rules.,238,0,0,7,0,179,0,9,0,0,0,0,
R,114,1st,498,H RES 420,On Agreeing to the Amendment,Agreed to,None,237,4,0,5,0,183,0,5,0,0,0,0,
R,114,1st,499,H RES 420,On Agreeing to the Resolution, As Amended,Passed,Providing for consideration of the bill (H.R. 348) RAPID Act; providing for consideration of the bill (H.R. 758) Lawsuit Abuse Reduction Act; and providing for consideration of motions to suspend the rules.,238,3,0,5,0,180,0,8,0,0,0,0,
R,114,1st,5,H RES 5,On Motion to Commit with Instructions,Failed,Adopting rules for the One Hundred Fourteenth Congress,0,239,0,3,168,4,0,1,0,0,0,0,
R,114,1st,50,H R 351,On Passage,Passed,LNG Permitting Certainty and Transparency Act,236,1,0,8,41,132,0,15,0,0,0,0,
R,114,1st,500,H R 758,On Motion to Recommit with Instructions,Failed,To amend Rule 11 of the Federal Rules of Civil Procedure to improve attorney accountability, and for other purposes.,0,239,0,7,179,0,0,9,0,0,0,0,
R,114,1st,501,H R 758,On Passage,Passed,To amend Rule 11 of the Federal Rules of Civil Procedure to improve attorney accountability, and for other purposes.,238,5,0,3,3,180,0,5,0,0,0,0,
R,114,1st,502,H RES 421,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 3134) Defund Planned Parenthood Act and; providing for consideration of the bill (H.R.3504) Born-Alive Abortion Survivors Protection Act.,243,0,0,3,0,183,0,5,0,0,0,0,
R,114,1st,503,H RES 421,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 3134) Defund Planned Parenthood Act and; providing for consideration of the bill (H.R.3504) Born-Alive Abortion Survivors Protection Act.,243,0,0,3,3,179,0,6,0,0,0,0,
R,114,1st,504,H R 3134,On Motion to Recommit with Instructions,Failed,Defund Planned Parenthood Act of 2015,0,243,0,3,183,2,0,3,0,0,0,0,
R,114,1st,505,H R 3134,On Passage,Passed,Defund Planned Parenthood Act of 2015,239,3,1,3,2,184,0,2,0,0,0,0,
R,114,1st,506,H R 3504,On Passage,Passed,Born-Alive Abortion Survivors Protection Act,243,0,0,3,5,177,1,5,0,0,0,0,
R,114,1st,508,H R 348,On Agreeing to the Amendment,Failed,None,4,225,0,17,166,3,0,19,0,0,0,0,
R,114,1st,509,H R 348,On Agreeing to the Amendment,Agreed to,None,142,88,0,16,178,0,0,10,0,0,0,0,
R,114,1st,51,H R 361,On Motion to Suspend the Rules and Pass,Passed,Medical Preparedness Allowable Use Act,221,2,0,22,156,0,0,32,0,0,0,0,
R,114,1st,510,H R 348,On Agreeing to the Amendment,Failed,None,5,226,0,15,174,4,0,10,0,0,0,0,
R,114,1st,511,H R 348,On Agreeing to the Amendment,Failed,None,0,232,0,14,173,5,0,10,0,0,0,0,
R,114,1st,512,H R 348,On Agreeing to the Amendment,Failed,None,8,223,0,15,179,0,0,9,0,0,0,0,
R,114,1st,513,H R 348,On Agreeing to the Amendment,Failed,None,5,226,0,15,174,3,0,11,0,0,0,0,
R,114,1st,514,H R 348,On Agreeing to the Amendment,Agreed to,None,220,11,0,15,3,175,0,10,0,0,0,0,
R,114,1st,515,H R 348,On Agreeing to the Amendment,Failed,None,1,230,0,15,175,2,0,11,0,0,0,0,
R,114,1st,516,H R 348,On Agreeing to the Amendment,Failed,None,3,228,0,15,173,4,0,11,0,0,0,0,
R,114,1st,517,H R 348,On Motion to Recommit with Instructions,Failed,Responsibly And Professionally Invigorating Development Act of 2015 (RAPID Act),0,228,0,18,175,1,0,12,0,0,0,0,
R,114,1st,518,H R 348,On Passage,Passed,Responsibly And Professionally Invigorating Development Act of 2015 (RAPID Act),226,0,0,20,7,170,0,11,0,0,0,0,
R,114,1st,519,H R 2835,On Motion to Suspend the Rules and Pass, as Amended,Passed,Border Jobs for Veterans Act of 2015,239,0,0,7,171,0,0,17,0,0,0,0,
R,114,1st,52,H R 615,On Motion to Suspend the Rules and Pass,Passed,Department of Homeland Security Interoperable Communications Act,223,0,0,22,156,0,0,32,0,0,0,0,
R,114,1st,520,H R 2786,On Motion to Suspend the Rules and Pass,Passed,Cross-Border Rail Security Act of 2015,240,0,0,6,172,0,0,16,0,0,0,0,
R,114,1st,525,H RES 448,On Agreeing to the Resolution,Passed,Providing for consideration of H. Con. Res. 79, directing the Clerk of the House of Representatives to make corrections in the enrollment of H.R. 719; and providing for consideration of the Senate amendment to the House amendment to the Senate amendment to H.R. 719, TSA Office of Inspection Accountability Act of 2015,239,3,0,4,0,184,0,4,0,0,0,0,
R,114,1st,526,S 2082,On Motion to Suspend the Rules and Pass,Passed,To amend title 38, United States Code, to extend certain expiring provisions of law administered by the Secretary of Veterans Affairs, and for other purposes.,240,0,0,6,183,0,0,5,0,0,0,0,
R,114,1st,527,H CON RES 79,On Agreeing to the Resolution,Passed,Directing the Clerk of the House of Representatives to make corrections in the enrollment of H.R. 719,238,3,1,4,3,182,0,3,0,0,0,0,
R,114,1st,528,H R 719,On Concurring in the Senate Adt to the House Adt to the Senate Adt,Passed,TSA Office of Inspection Accountability Act of 2015,91,151,0,4,186,0,0,2,0,0,0,0,
R,114,1st,529,H RES 449,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 3457) the Justice for Victims of Iranian Terrorism Act and consideration of the conference report to accompany the bill (H.R. 1735) the National Defense Authorization Act for Fiscal Year 2016.,237,0,0,9,0,180,0,8,0,0,0,0,
R,114,1st,53,H R 623,On Motion to Suspend the Rules and Pass,Passed,Social Media Working Group Act,173,50,0,22,155,1,0,32,0,0,0,0,
R,114,1st,530,H RES 449,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 3457) the Justice for Victims of Iranian Terrorism Act and consideration of the conference report to accompany the bill (H.R. 1735) the National Defense Authorization Act for Fiscal Year 2016.,238,1,0,7,3,180,0,5,0,0,0,0,
R,114,1st,531,H R 1735,On Motion to Recommit Conference Report with Instructions,Failed,To authorize appropriations for fiscal year 2016 for military activites of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes,2,241,0,3,184,0,0,4,0,0,0,0,
R,114,1st,532,H R 1735,On Agreeing to the Conference Report,Passed,To authorize appropriations for fiscal year 2016 for military activites of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes,233,10,0,3,37,146,0,5,0,0,0,0,
R,114,1st,533,H R 3457,On Passage,Passed,Justice for Victims of Iranian Terrorism Act,241,0,0,5,10,173,0,5,0,0,0,0,
R,114,1st,534,H R 1553,On Motion to Suspend the Rules and Pass,Passed,Small Bank Exam Cycle Reform Act,233,0,0,13,178,0,0,10,0,0,0,0,
R,114,1st,535,H R 1839,On Motion to Suspend the Rules and Pass, as Amended,Passed,Reforming Access for Investments in Startup Enterprises Act or the RAISE Act,231,0,0,15,173,0,0,15,0,0,0,0,
R,114,1st,536,MOTION,Table Appeal of the Ruling of the Chair,Passed,None,240,0,0,6,0,183,0,5,0,0,0,0,
R,114,1st,537,H RES 462,On Agreeing to the Resolution,Passed,Providing for consideration of H.R. 3192, the Homebuyers Assistance Act and providing for proceedings during the period from October 12, 2015, through October 19, 2015,238,0,0,8,0,181,0,7,0,0,0,0,
R,114,1st,538,H RES 461,On Agreeing to the Resolution, As Amended,Passed,Establishing a Select Investigative Panel of the Committee on Energy and Commerce,240,1,0,5,2,183,0,3,0,0,0,0,
R,114,1st,539,H R 3192,On Motion to Recommit with Instructions,Failed,Homebuyers Assistance Act,2,238,0,6,183,2,0,3,0,0,0,0,
R,114,1st,54,H RES 70,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 596) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes,242,0,0,3,0,176,0,12,0,0,0,0,
R,114,1st,540,H R 3192,On Passage,Passed,Homebuyers Assistance Act,239,0,0,7,64,121,0,3,0,0,0,0,
R,114,1st,543,H R 538,On Motion to Recommit with Instructions,Failed,Native American Energy Act,1,239,0,6,183,0,0,5,0,0,0,0,
R,114,1st,544,H R 538,On Passage,Passed,Native American Energy Act,243,1,0,2,11,172,0,5,0,0,0,0,
R,114,1st,545,H R 702,On Agreeing to the Amendment,Failed,None,107,133,0,6,2,173,0,13,0,0,0,0,
R,114,1st,546,H R 702,On Agreeing to the Amendment,Agreed to,None,237,0,0,9,177,1,0,10,0,0,0,0,
R,114,1st,547,H R 702,On Agreeing to the Amendment,Agreed to,None,240,0,0,6,179,0,0,9,0,0,0,0,
R,114,1st,548,H R 702,On Motion to Recommit with Instructions,Failed,To adapt to changing crude oil market conditions,1,240,0,5,178,2,0,8,0,0,0,0,
R,114,1st,549,H R 702,On Passage,Passed,To adapt to changing crude oil market conditions,235,6,0,5,26,153,0,9,0,0,0,0,
R,114,1st,55,H RES 70,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 596) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes,242,0,0,3,0,178,0,10,0,0,0,0,
R,114,1st,550,H R 3493,On Motion to Suspend the Rules and Pass, as Amended,Passed,Securing the Cities Act of 2015,234,4,0,8,177,0,0,11,0,0,0,0,
